2026-05-11 02:11:59,243 - INFO - 正在计算 8 维特征全局统计量...
2026-05-11 02:12:06,142 - INFO - Dataset [TRAIN] 加载: ../koopman_train.npz | 90段 | 178110样本
2026-05-11 02:12:06,148 - INFO - Dataset [EVAL] 加载: ../koopman_val.npz | 3段 | 35937样本
2026-05-11 02:12:16,871 - INFO - Ep [001/100] LR:0.010000 | Loss:410286.3520 (Pr:40888.9775, Ac:64.0876, Rc:4.6398, Lr:1071.4876, Iner:0.0024) | Val:32.9986 | Pwr: [Pwr: N/A]
2026-05-11 02:12:26,489 - INFO - Ep [002/100] LR:0.010000 | Loss:38.1953 (Pr:3.5836, Ac:0.0117, Rc:2.0138, Lr:0.2650, Iner:0.0044) | Val:3.9062 | Pwr: [Pwr: N/A]
2026-05-11 02:12:34,984 - INFO - Ep [003/100] LR:0.010000 | Loss:8.1012 (Pr:0.7422, Ac:0.0060, Rc:0.4949, Lr:0.1314, Iner:0.0046) | Val:4.2237 | Pwr: [Pwr: N/A]
2026-05-11 02:12:41,575 - INFO - Ep [004/100] LR:0.010000 | Loss:4.9563 (Pr:0.4750, Ac:0.0037, Rc:0.1280, Lr:0.0374, Iner:0.0044) | Val:3.7728 | Pwr: [Pwr: N/A]
2026-05-11 02:12:48,354 - INFO - Ep [005/100] LR:0.010000 | Loss:4.3039 (Pr:0.4132, Ac:0.0028, Rc:0.1079, Lr:0.0290, Iner:0.0042) | Val:2.2612 | Pwr: [Pwr: N/A]
2026-05-11 02:12:55,074 - INFO - Ep [006/100] LR:0.010000 | Loss:3.7203 (Pr:0.3562, Ac:0.0020, Rc:0.1002, Lr:0.0279, Iner:0.0040) | Val:2.4094 | Pwr: [Pwr: N/A]
2026-05-11 02:13:01,848 - INFO - Ep [007/100] LR:0.010000 | Loss:3.1521 (Pr:0.3018, Ac:0.0013, Rc:0.0856, Lr:0.0230, Iner:0.0038) | Val:2.0913 | Pwr: [Pwr: N/A]
2026-05-11 02:13:09,007 - INFO - Ep [008/100] LR:0.010000 | Loss:2.4109 (Pr:0.2303, Ac:0.0010, Rc:0.0714, Lr:0.0140, Iner:0.0035) | Val:1.7227 | Pwr: [Pwr: N/A]
2026-05-11 02:13:15,937 - INFO - Ep [009/100] LR:0.010000 | Loss:2.8008 (Pr:0.2693, Ac:0.0009, Rc:0.0723, Lr:0.0149, Iner:0.0032) | Val:1.9536 | Pwr: [Pwr: N/A]
2026-05-11 02:13:22,639 - INFO - Ep [010/100] LR:0.010000 | Loss:2.3782 (Pr:0.2283, Ac:0.0008, Rc:0.0654, Lr:0.0108, Iner:0.0030) | Val:1.7743 | Pwr: [Pwr: N/A]
