2026-05-13 05:43:13,922 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 05:43:13,928 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 05:43:19,633 - INFO - Epoch [001/150] | LR: 0.001000 | Loss: 0.6113 (PhyAcc:0.0025, Lin:0.0241) | Val Acc Loss: 0.0003 | Mem: 111MB (1.4%) | Pwr: [Pwr Error]
2026-05-13 05:43:24,951 - INFO - Epoch [002/150] | LR: 0.001000 | Loss: 0.0121 (PhyAcc:0.0001, Lin:0.0004) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:43:30,266 - INFO - Epoch [003/150] | LR: 0.001000 | Loss: 0.0079 (PhyAcc:0.0000, Lin:0.0002) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:43:35,488 - INFO - Epoch [004/150] | LR: 0.001000 | Loss: 0.0067 (PhyAcc:0.0000, Lin:0.0002) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:43:40,711 - INFO - Epoch [005/150] | LR: 0.001000 | Loss: 0.0070 (PhyAcc:0.0000, Lin:0.0002) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:43:45,838 - INFO - Epoch [006/150] | LR: 0.001000 | Loss: 0.0061 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:43:50,935 - INFO - Epoch [007/150] | LR: 0.001000 | Loss: 0.0071 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:43:55,299 - INFO - Epoch [008/150] | LR: 0.001000 | Loss: 0.0065 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0002 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:44:00,329 - INFO - Epoch [009/150] | LR: 0.001000 | Loss: 0.0054 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:44:05,710 - INFO - Epoch [010/150] | LR: 0.001000 | Loss: 0.0054 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:44:11,013 - INFO - Epoch [011/150] | LR: 0.001000 | Loss: 0.0055 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
