2026-05-13 05:19:03,229 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 05:19:03,235 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 05:20:52,711 - INFO - Epoch [023/150] | LR: 0.001000 | Loss: 0.0535 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0347) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:20:57,036 - INFO - Epoch [024/150] | LR: 0.001000 | Loss: 0.0527 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0341) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:01,347 - INFO - Epoch [025/150] | LR: 0.001000 | Loss: 0.0535 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0347) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:05,674 - INFO - Epoch [026/150] | LR: 0.001000 | Loss: 0.0532 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0345) | Val Loss: 0.0015 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:10,895 - INFO - Epoch [027/150] | LR: 0.001000 | Loss: 0.0528 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0343) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:16,253 - INFO - Epoch [028/150] | LR: 0.001000 | Loss: 0.0528 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0341) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:21,215 - INFO - Epoch [029/150] | LR: 0.001000 | Loss: 0.0532 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0345) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:25,648 - INFO - Epoch [030/150] | LR: 0.000500 | Loss: 0.0531 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0344) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:30,168 - INFO - Epoch [031/150] | LR: 0.000500 | Loss: 0.0510 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0333) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:34,734 - INFO - Epoch [032/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:38,980 - INFO - Epoch [033/150] | LR: 0.000500 | Loss: 0.0504 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0329) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:43,291 - INFO - Epoch [034/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:47,609 - INFO - Epoch [035/150] | LR: 0.000500 | Loss: 0.0515 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0336) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:52,695 - INFO - Epoch [036/150] | LR: 0.000500 | Loss: 0.0505 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:21:57,930 - INFO - Epoch [037/150] | LR: 0.000500 | Loss: 0.0514 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0336) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:02,774 - INFO - Epoch [038/150] | LR: 0.000500 | Loss: 0.0507 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0015 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:07,605 - INFO - Epoch [039/150] | LR: 0.000500 | Loss: 0.0507 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:12,874 - INFO - Epoch [040/150] | LR: 0.000500 | Loss: 0.0505 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:18,161 - INFO - Epoch [041/150] | LR: 0.000500 | Loss: 0.0501 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0328) | Val Loss: 0.0015 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:22,442 - INFO - Epoch [042/150] | LR: 0.000500 | Loss: 0.0505 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0008 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:26,669 - INFO - Epoch [043/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:31,900 - INFO - Epoch [044/150] | LR: 0.000500 | Loss: 0.0504 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0329) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:36,430 - INFO - Epoch [045/150] | LR: 0.000500 | Loss: 0.0507 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0332) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:41,118 - INFO - Epoch [046/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:45,908 - INFO - Epoch [047/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0332) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:51,204 - INFO - Epoch [048/150] | LR: 0.000500 | Loss: 0.0505 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0015 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:22:55,948 - INFO - Epoch [049/150] | LR: 0.000500 | Loss: 0.0497 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:00,240 - INFO - Epoch [050/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:04,582 - INFO - Epoch [051/150] | LR: 0.000500 | Loss: 0.0504 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:09,145 - INFO - Epoch [052/150] | LR: 0.000500 | Loss: 0.0505 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:13,465 - INFO - Epoch [053/150] | LR: 0.000500 | Loss: 0.0504 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:18,089 - INFO - Epoch [054/150] | LR: 0.000500 | Loss: 0.0504 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:22,364 - INFO - Epoch [055/150] | LR: 0.000500 | Loss: 0.0508 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0333) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:26,598 - INFO - Epoch [056/150] | LR: 0.000500 | Loss: 0.0506 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0332) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
