2026-05-13 03:48:19,639 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 03:48:19,645 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 03:48:34,016 - INFO - Epoch [001/150] | LR: 0.001000 | Loss: 6.4060 (Pred:0.0383, Phy:0.0728, Recon:0.0486, Lin:0.0399, Delta:0.0021) | Val Loss: 0.0085 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:48:47,787 - INFO - Epoch [002/150] | LR: 0.001000 | Loss: 0.1847 (Pred:0.0027, Phy:0.0004, Recon:0.0011, Lin:0.0040, Delta:0.0002) | Val Loss: 0.0053 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:48:58,547 - INFO - Epoch [003/150] | LR: 0.001000 | Loss: 0.1129 (Pred:0.0018, Phy:0.0003, Recon:0.0005, Lin:0.0020, Delta:0.0001) | Val Loss: 0.0077 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:49:09,485 - INFO - Epoch [004/150] | LR: 0.001000 | Loss: 0.0874 (Pred:0.0017, Phy:0.0002, Recon:0.0003, Lin:0.0013, Delta:0.0000) | Val Loss: 0.0115 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:49:20,270 - INFO - Epoch [005/150] | LR: 0.001000 | Loss: 0.0814 (Pred:0.0018, Phy:0.0002, Recon:0.0003, Lin:0.0010, Delta:0.0000) | Val Loss: 0.0059 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:49:30,583 - INFO - Epoch [006/150] | LR: 0.001000 | Loss: 0.0692 (Pred:0.0016, Phy:0.0001, Recon:0.0002, Lin:0.0007, Delta:0.0000) | Val Loss: 0.0052 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:49:41,255 - INFO - Epoch [007/150] | LR: 0.001000 | Loss: 0.0642 (Pred:0.0015, Phy:0.0001, Recon:0.0002, Lin:0.0006, Delta:0.0000) | Val Loss: 0.0074 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:49:52,047 - INFO - Epoch [008/150] | LR: 0.001000 | Loss: 0.0615 (Pred:0.0015, Phy:0.0001, Recon:0.0001, Lin:0.0006, Delta:0.0000) | Val Loss: 0.0089 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:50:03,088 - INFO - Epoch [009/150] | LR: 0.001000 | Loss: 0.0581 (Pred:0.0014, Phy:0.0001, Recon:0.0001, Lin:0.0005, Delta:0.0000) | Val Loss: 0.0070 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:50:13,671 - INFO - Epoch [010/150] | LR: 0.001000 | Loss: 0.0557 (Pred:0.0013, Phy:0.0002, Recon:0.0001, Lin:0.0005, Delta:0.0000) | Val Loss: 0.0072 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:50:24,555 - INFO - Epoch [011/150] | LR: 0.001000 | Loss: 0.0559 (Pred:0.0014, Phy:0.0001, Recon:0.0001, Lin:0.0004, Delta:0.0000) | Val Loss: 0.0081 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:50:35,072 - INFO - Epoch [012/150] | LR: 0.001000 | Loss: 0.0539 (Pred:0.0013, Phy:0.0001, Recon:0.0001, Lin:0.0004, Delta:0.0000) | Val Loss: 0.0084 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:50:45,672 - INFO - Epoch [013/150] | LR: 0.001000 | Loss: 0.0535 (Pred:0.0014, Phy:0.0001, Recon:0.0001, Lin:0.0004, Delta:0.0000) | Val Loss: 0.0045 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:50:56,332 - INFO - Epoch [014/150] | LR: 0.001000 | Loss: 0.0519 (Pred:0.0013, Phy:0.0001, Recon:0.0001, Lin:0.0004, Delta:0.0000) | Val Loss: 0.0055 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:51:06,584 - INFO - Epoch [015/150] | LR: 0.001000 | Loss: 0.0495 (Pred:0.0013, Phy:0.0001, Recon:0.0001, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0131 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:51:17,034 - INFO - Epoch [016/150] | LR: 0.001000 | Loss: 0.0493 (Pred:0.0013, Phy:0.0001, Recon:0.0001, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0120 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:51:27,671 - INFO - Epoch [017/150] | LR: 0.001000 | Loss: 0.0476 (Pred:0.0013, Phy:0.0001, Recon:0.0001, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0070 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:51:38,740 - INFO - Epoch [018/150] | LR: 0.001000 | Loss: 0.0475 (Pred:0.0012, Phy:0.0001, Recon:0.0000, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0069 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:51:49,803 - INFO - Epoch [019/150] | LR: 0.001000 | Loss: 0.0474 (Pred:0.0013, Phy:0.0001, Recon:0.0001, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0083 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:52:00,693 - INFO - Epoch [020/150] | LR: 0.001000 | Loss: 0.0463 (Pred:0.0012, Phy:0.0001, Recon:0.0001, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0055 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:52:11,445 - INFO - Epoch [021/150] | LR: 0.001000 | Loss: 0.0475 (Pred:0.0013, Phy:0.0001, Recon:0.0001, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0053 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:52:22,389 - INFO - Epoch [022/150] | LR: 0.001000 | Loss: 0.0451 (Pred:0.0012, Phy:0.0001, Recon:0.0000, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0049 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:52:33,424 - INFO - Epoch [023/150] | LR: 0.001000 | Loss: 0.0462 (Pred:0.0012, Phy:0.0001, Recon:0.0001, Lin:0.0003, Delta:0.0000) | Val Loss: 0.0072 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:52:44,123 - INFO - Epoch [024/150] | LR: 0.001000 | Loss: 0.0425 (Pred:0.0011, Phy:0.0001, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0053 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:52:54,846 - INFO - Epoch [025/150] | LR: 0.001000 | Loss: 0.0436 (Pred:0.0012, Phy:0.0001, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0046 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:53:05,623 - INFO - Epoch [026/150] | LR: 0.001000 | Loss: 0.0420 (Pred:0.0011, Phy:0.0001, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0054 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:53:16,673 - INFO - Epoch [027/150] | LR: 0.001000 | Loss: 0.0436 (Pred:0.0012, Phy:0.0001, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0067 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:53:27,858 - INFO - Epoch [028/150] | LR: 0.001000 | Loss: 0.0426 (Pred:0.0012, Phy:0.0001, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0064 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:53:38,572 - INFO - Epoch [029/150] | LR: 0.001000 | Loss: 0.0426 (Pred:0.0012, Phy:0.0001, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0067 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:53:49,194 - INFO - Epoch [030/150] | LR: 0.000500 | Loss: 0.0418 (Pred:0.0012, Phy:0.0001, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0078 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:54:00,020 - INFO - Epoch [031/150] | LR: 0.000500 | Loss: 0.0375 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0056 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:54:11,082 - INFO - Epoch [032/150] | LR: 0.000500 | Loss: 0.0376 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0056 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:54:22,085 - INFO - Epoch [033/150] | LR: 0.000500 | Loss: 0.0371 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0087 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:54:32,883 - INFO - Epoch [034/150] | LR: 0.000500 | Loss: 0.0369 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0090 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:54:43,640 - INFO - Epoch [035/150] | LR: 0.000500 | Loss: 0.0369 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0078 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:54:54,628 - INFO - Epoch [036/150] | LR: 0.000500 | Loss: 0.0369 (Pred:0.0010, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0075 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:55:06,036 - INFO - Epoch [037/150] | LR: 0.000500 | Loss: 0.0368 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0063 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:55:16,646 - INFO - Epoch [038/150] | LR: 0.000500 | Loss: 0.0366 (Pred:0.0010, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0057 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:55:27,386 - INFO - Epoch [039/150] | LR: 0.000500 | Loss: 0.0369 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0074 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:55:38,111 - INFO - Epoch [040/150] | LR: 0.000500 | Loss: 0.0367 (Pred:0.0010, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0056 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:55:49,072 - INFO - Epoch [041/150] | LR: 0.000500 | Loss: 0.0367 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0081 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:56:00,019 - INFO - Epoch [042/150] | LR: 0.000500 | Loss: 0.0365 (Pred:0.0010, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0049 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:56:10,635 - INFO - Epoch [043/150] | LR: 0.000500 | Loss: 0.0366 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0062 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:56:21,511 - INFO - Epoch [044/150] | LR: 0.000500 | Loss: 0.0367 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0080 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:56:32,382 - INFO - Epoch [045/150] | LR: 0.000500 | Loss: 0.0368 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0067 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:56:43,384 - INFO - Epoch [046/150] | LR: 0.000500 | Loss: 0.0367 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0002, Delta:0.0000) | Val Loss: 0.0091 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:56:54,531 - INFO - Epoch [047/150] | LR: 0.000500 | Loss: 0.0364 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0000) | Val Loss: 0.0080 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:57:05,201 - INFO - Epoch [048/150] | LR: 0.000500 | Loss: 0.0365 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0000) | Val Loss: 0.0060 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:57:16,137 - INFO - Epoch [049/150] | LR: 0.000500 | Loss: 0.0366 (Pred:0.0011, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0000) | Val Loss: 0.0068 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:57:27,025 - INFO - Epoch [050/150] | LR: 0.000500 | Loss: 0.0362 (Pred:0.0010, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0000) | Val Loss: 0.0058 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
2026-05-13 03:57:38,045 - INFO - Epoch [051/150] | LR: 0.000500 | Loss: 0.0364 (Pred:0.0010, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0000) | Val Loss: 0.0077 | Mem: 249MB (3.2%) | Pwr: [Pwr Error]
