2026-05-13 08:02:01,752 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 08:02:01,758 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 08:02:07,108 - INFO - Epoch [001/150] | LR: 0.001000 | Loss: 0.7949 (PhyAcc:0.0032, Lin:0.0315) | Val Acc Loss: 0.0004 | Mem: 95MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:11,845 - INFO - Epoch [002/150] | LR: 0.001000 | Loss: 0.0344 (PhyAcc:0.0001, Lin:0.0019) | Val Acc Loss: 0.0003 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:16,590 - INFO - Epoch [003/150] | LR: 0.001000 | Loss: 0.0296 (PhyAcc:0.0001, Lin:0.0014) | Val Acc Loss: 0.0002 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:21,281 - INFO - Epoch [004/150] | LR: 0.001000 | Loss: 0.0249 (PhyAcc:0.0000, Lin:0.0014) | Val Acc Loss: 0.0003 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:25,970 - INFO - Epoch [005/150] | LR: 0.001000 | Loss: 0.0229 (PhyAcc:0.0000, Lin:0.0013) | Val Acc Loss: 0.0003 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:30,662 - INFO - Epoch [006/150] | LR: 0.001000 | Loss: 0.0240 (PhyAcc:0.0000, Lin:0.0013) | Val Acc Loss: 0.0003 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:35,135 - INFO - Epoch [007/150] | LR: 0.001000 | Loss: 0.0233 (PhyAcc:0.0000, Lin:0.0013) | Val Acc Loss: 0.0002 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:39,535 - INFO - Epoch [008/150] | LR: 0.001000 | Loss: 0.0239 (PhyAcc:0.0000, Lin:0.0013) | Val Acc Loss: 0.0003 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:44,066 - INFO - Epoch [009/150] | LR: 0.001000 | Loss: 0.0236 (PhyAcc:0.0000, Lin:0.0013) | Val Acc Loss: 0.0006 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:48,415 - INFO - Epoch [010/150] | LR: 0.001000 | Loss: 0.0260 (PhyAcc:0.0000, Lin:0.0014) | Val Acc Loss: 0.0002 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
2026-05-13 08:02:52,895 - INFO - Epoch [011/150] | LR: 0.001000 | Loss: 0.0241 (PhyAcc:0.0000, Lin:0.0013) | Val Acc Loss: 0.0003 | Mem: 96MB (1.2%) | Pwr: [Pwr Error]
