2026-05-13 07:30:06,617 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 07:30:06,623 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 07:30:12,226 - INFO - Epoch [001/150] | LR: 0.001000 | Loss: 1.1021 (PhyAcc:0.0068, Lin:0.0283) | Val Acc Loss: 0.0004 | Mem: 111MB (1.4%) | Pwr: [Pwr Error]
2026-05-13 07:30:17,778 - INFO - Epoch [002/150] | LR: 0.001000 | Loss: 0.0140 (PhyAcc:0.0001, Lin:0.0006) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:22,960 - INFO - Epoch [003/150] | LR: 0.001000 | Loss: 0.0086 (PhyAcc:0.0000, Lin:0.0002) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:28,153 - INFO - Epoch [004/150] | LR: 0.001000 | Loss: 0.0073 (PhyAcc:0.0000, Lin:0.0002) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:33,352 - INFO - Epoch [005/150] | LR: 0.001000 | Loss: 0.0068 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:38,377 - INFO - Epoch [006/150] | LR: 0.001000 | Loss: 0.0071 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:42,582 - INFO - Epoch [007/150] | LR: 0.001000 | Loss: 0.0070 (PhyAcc:0.0000, Lin:0.0002) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:47,708 - INFO - Epoch [008/150] | LR: 0.001000 | Loss: 0.0060 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:53,013 - INFO - Epoch [009/150] | LR: 0.001000 | Loss: 0.0057 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:30:58,268 - INFO - Epoch [010/150] | LR: 0.001000 | Loss: 0.0053 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:31:03,611 - INFO - Epoch [011/150] | LR: 0.001000 | Loss: 0.0057 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0004 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:31:08,751 - INFO - Epoch [012/150] | LR: 0.001000 | Loss: 0.0054 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 07:31:13,818 - INFO - Epoch [013/150] | LR: 0.001000 | Loss: 0.0053 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0003 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
