2026-05-11 03:16:52,136 - INFO - 正在计算 8 维特征全局统计量...
2026-05-11 03:16:59,015 - INFO - Dataset [TRAIN] 加载: ../koopman_train.npz | 90段 | 178110样本
2026-05-11 03:16:59,021 - INFO - Dataset [EVAL] 加载: ../koopman_val.npz | 3段 | 35937样本
2026-05-11 03:19:39,651 - INFO - Ep [026/100] LR:0.005000 | Loss:1.1757 (Pr:0.1080, Ac:0.0015, Rc:0.0540, Lr:0.0342, Iner:0.0031) | Val:0.4321 | Pwr: [Pwr: N/A]
2026-05-11 03:19:45,411 - INFO - Ep [027/100] LR:0.005000 | Loss:1.1432 (Pr:0.1051, Ac:0.0014, Rc:0.0524, Lr:0.0321, Iner:0.0029) | Val:0.3351 | Pwr: [Pwr: N/A]
2026-05-11 03:19:51,241 - INFO - Ep [028/100] LR:0.005000 | Loss:1.1247 (Pr:0.1034, Ac:0.0014, Rc:0.0517, Lr:0.0319, Iner:0.0027) | Val:0.4607 | Pwr: [Pwr: N/A]
2026-05-11 03:19:57,288 - INFO - Ep [029/100] LR:0.005000 | Loss:1.1274 (Pr:0.1037, Ac:0.0014, Rc:0.0510, Lr:0.0316, Iner:0.0026) | Val:0.3947 | Pwr: [Pwr: N/A]
2026-05-11 03:20:03,472 - INFO - Ep [030/100] LR:0.005000 | Loss:1.1332 (Pr:0.1043, Ac:0.0014, Rc:0.0507, Lr:0.0318, Iner:0.0024) | Val:0.4404 | Pwr: [Pwr: N/A]
2026-05-11 03:20:09,367 - INFO - Ep [031/100] LR:0.005000 | Loss:1.1081 (Pr:0.1018, Ac:0.0014, Rc:0.0503, Lr:0.0320, Iner:0.0023) | Val:0.4033 | Pwr: [Pwr: N/A]
2026-05-11 03:20:15,269 - INFO - Ep [032/100] LR:0.005000 | Loss:1.1268 (Pr:0.1038, Ac:0.0014, Rc:0.0501, Lr:0.0317, Iner:0.0022) | Val:0.4474 | Pwr: [Pwr: N/A]
2026-05-11 03:20:21,053 - INFO - Ep [033/100] LR:0.005000 | Loss:1.1093 (Pr:0.1020, Ac:0.0014, Rc:0.0500, Lr:0.0322, Iner:0.0021) | Val:0.3886 | Pwr: [Pwr: N/A]
2026-05-11 03:20:26,936 - INFO - Ep [034/100] LR:0.005000 | Loss:1.1122 (Pr:0.1024, Ac:0.0014, Rc:0.0496, Lr:0.0315, Iner:0.0020) | Val:0.4557 | Pwr: [Pwr: N/A]
2026-05-11 03:20:32,802 - INFO - Ep [035/100] LR:0.005000 | Loss:1.1086 (Pr:0.1020, Ac:0.0014, Rc:0.0493, Lr:0.0322, Iner:0.0020) | Val:0.3956 | Pwr: [Pwr: N/A]
